2017.09.28 14:07:39 INFO  es[][o.e.index.shard] [sonarqube] [users][0] updating refresh_interval from [-1] to [30s]
2017.09.28 14:07:40 INFO  es[][o.e.cluster.metadata] [sonarqube] closing indices [[users]]
2017.09.28 14:07:40 INFO  es[][o.e.cluster.metadata] [sonarqube] opening indices [[users]]
2017.09.28 14:07:40 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[users][0]] ...]).
2017.09.28 14:07:40 INFO  es[][o.e.cluster.metadata] [sonarqube] closing indices [[components]]
2017.09.28 14:07:40 INFO  es[][o.e.cluster.metadata] [sonarqube] opening indices [[components]]
2017.09.28 14:07:40 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[components][4], [components][4]] ...]).
2017.09.28 14:07:41 INFO  es[][o.e.index.shard] [sonarqube] [views][3] updating refresh_interval from [30s] to [-1]
2017.09.28 14:07:41 INFO  es[][o.e.index.shard] [sonarqube] [views][1] updating refresh_interval from [30s] to [-1]
2017.09.28 14:07:41 INFO  es[][o.e.index.shard] [sonarqube] [views][2] updating refresh_interval from [30s] to [-1]
2017.09.28 14:07:41 INFO  es[][o.e.index.shard] [sonarqube] [views][0] updating refresh_interval from [30s] to [-1]
2017.09.28 14:07:41 INFO  es[][o.e.index.shard] [sonarqube] [views][4] updating refresh_interval from [30s] to [-1]
2017.09.28 14:07:41 INFO  es[][o.e.index.shard] [sonarqube] [views][3] updating refresh_interval from [-1] to [30s]
2017.09.28 14:07:41 INFO  es[][o.e.index.shard] [sonarqube] [views][1] updating refresh_interval from [-1] to [30s]
2017.09.28 14:07:41 INFO  es[][o.e.index.shard] [sonarqube] [views][2] updating refresh_interval from [-1] to [30s]
2017.09.28 14:07:41 INFO  es[][o.e.index.shard] [sonarqube] [views][0] updating refresh_interval from [-1] to [30s]
2017.09.28 14:07:41 INFO  es[][o.e.index.shard] [sonarqube] [views][4] updating refresh_interval from [-1] to [30s]
2017.09.28 14:07:41 INFO  es[][o.e.cluster.metadata] [sonarqube] closing indices [[views]]
2017.09.28 14:07:41 INFO  es[][o.e.cluster.metadata] [sonarqube] opening indices [[views]]
2017.09.28 14:07:41 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[views][1]] ...]).
2017.09.28 14:07:41 INFO  es[][o.e.cluster.metadata] [sonarqube] closing indices [[issues]]
2017.09.28 14:07:41 INFO  es[][o.e.cluster.metadata] [sonarqube] opening indices [[issues]]
2017.09.28 14:07:42 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[issues][1]] ...]).
2017.09.28 14:07:42 INFO  es[][o.e.cluster.metadata] [sonarqube] closing indices [[components]]
2017.09.28 14:07:42 INFO  es[][o.e.cluster.metadata] [sonarqube] opening indices [[components]]
2017.09.28 14:07:42 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[components][4]] ...]).
2017.09.28 14:07:42 INFO  es[][o.e.cluster.metadata] [sonarqube] closing indices [[projectmeasures]]
2017.09.28 14:07:42 INFO  es[][o.e.cluster.metadata] [sonarqube] opening indices [[projectmeasures]]
2017.09.28 14:07:43 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[projectmeasures][2]] ...]).
2017.09.28 14:07:43 INFO  es[][o.e.cluster.metadata] [sonarqube] closing indices [[issues]]
2017.09.28 14:07:43 INFO  es[][o.e.cluster.metadata] [sonarqube] opening indices [[issues]]
2017.09.28 14:07:43 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[issues][1]] ...]).
2017.09.28 14:07:43 INFO  es[][o.e.cluster.metadata] [sonarqube] closing indices [[tests]]
2017.09.28 14:07:43 INFO  es[][o.e.cluster.metadata] [sonarqube] opening indices [[tests]]
2017.09.28 14:07:44 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[tests][0], [tests][0]] ...]).
2017.09.28 14:07:44 INFO  es[][o.e.cluster.metadata] [sonarqube] closing indices [[projectmeasures]]
2017.09.28 14:07:44 INFO  es[][o.e.cluster.metadata] [sonarqube] opening indices [[projectmeasures]]
2017.09.28 14:07:44 INFO  es[][o.e.c.r.allocation] [sonarqube] Cluster health status changed from [RED] to [GREEN] (reason: [shards started [[projectmeasures][1], [projectmeasures][1]] ...]).
