2017.09.28 14:07:06 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarPHP / 2.10.0.2087 / b24a8fcb16d37cae2f8c6741141f4136c444851f
2017.09.28 14:07:06 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarPython / 1.8.0.1496 / 3fe3bc4d0273a5721ea2fb368dc45b1bb82fede3
2017.09.28 14:07:06 INFO  web[][o.s.s.p.ServerPluginRepository] Deploy plugin SonarXML / 1.4.3.1027 / 39588245cecf538bb27be4e496ff303b0143d20b
2017.09.28 14:07:09 INFO  web[][o.s.s.p.d.m.AutoDbMigration] Automatically perform DB migration on fresh install
2017.09.28 14:07:10 INFO  web[][o.s.s.p.Platform] Database has been automatically updated
2017.09.28 14:07:10 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@2ebc3369 [pattern=UrlPattern{inclusions=[/api/system/migrate_db/*, ...], exclusions=[/api/properties*, ...]}]
2017.09.28 14:07:10 INFO  web[][o.s.s.a.EmbeddedTomcat] HTTP connector enabled on port 9000
2017.09.28 14:07:11 INFO  web[][o.s.s.p.UpdateCenterClient] Update center: https://update.sonarsource.org/update-center.properties (no proxy)
2017.09.28 14:07:12 INFO  web[][o.s.s.e.IndexCreator] Create index components
2017.09.28 14:07:13 INFO  web[][o.s.s.e.IndexCreator] Create type components/component
2017.09.28 14:07:14 INFO  web[][o.s.s.e.IndexCreator] Create type components/authorization
2017.09.28 14:07:14 INFO  web[][o.s.s.e.IndexCreator] Create index tests
2017.09.28 14:07:14 INFO  web[][o.s.s.e.IndexCreator] Create type tests/test
2017.09.28 14:07:14 INFO  web[][o.s.s.e.IndexCreator] Create index projectmeasures
2017.09.28 14:07:15 INFO  web[][o.s.s.e.IndexCreator] Create type projectmeasures/projectmeasure
2017.09.28 14:07:15 INFO  web[][o.s.s.e.IndexCreator] Create type projectmeasures/authorization
2017.09.28 14:07:15 INFO  web[][o.s.s.e.IndexCreator] Create index rules
2017.09.28 14:07:15 INFO  web[][o.s.s.e.IndexCreator] Create type rules/activeRule
2017.09.28 14:07:15 INFO  web[][o.s.s.e.IndexCreator] Create type rules/ruleExtension
2017.09.28 14:07:15 INFO  web[][o.s.s.e.IndexCreator] Create type rules/rule
2017.09.28 14:07:15 INFO  web[][o.s.s.e.IndexCreator] Create index issues
2017.09.28 14:07:16 INFO  web[][o.s.s.e.IndexCreator] Create type issues/issue
2017.09.28 14:07:16 INFO  web[][o.s.s.e.IndexCreator] Create type issues/authorization
2017.09.28 14:07:16 INFO  web[][o.s.s.e.IndexCreator] Create index users
2017.09.28 14:07:16 INFO  web[][o.s.s.e.IndexCreator] Create type users/user
2017.09.28 14:07:16 INFO  web[][o.s.s.e.IndexCreator] Create index views
2017.09.28 14:07:16 INFO  web[][o.s.s.e.IndexCreator] Create type views/view
2017.09.28 14:07:17 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2017.09.28 14:07:17 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2017.09.28 14:07:17 INFO  web[][o.s.s.r.RegisterRules] Register rules
2017.09.28 14:07:27 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2017.09.28 14:07:27 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register quality profiles
2017.09.28 14:07:27 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile cs/Sonar way
2017.09.28 14:07:28 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile java/Sonar way
2017.09.28 14:07:29 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile flex/Sonar way
2017.09.28 14:07:30 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile xml/Sonar way
2017.09.28 14:07:30 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile py/Sonar way
2017.09.28 14:07:30 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/Sonar way
2017.09.28 14:07:30 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/PSR-2
2017.09.28 14:07:31 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile php/Drupal
2017.09.28 14:07:31 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile js/Sonar way Recommended
2017.09.28 14:07:32 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register profile js/Sonar way
2017.09.28 14:07:33 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
